method,threshold,threshold_normal_quantile,accuracy,precision,recall,f1,roc_auc
actual_swap_test,0.00146484375,0.95,0.9825,0.966183574879227,1.0,0.9828009828009828,0.9996750000000001
reconstruction,0.0054457510548331315,0.95,0.9725,0.9478672985781991,1.0,0.9732360097323601,0.999425
