method,sample_type,mean,std,min,max
actual_swap_test,normal,0.0004296875,0.0006230323335391623,0.0,0.00439453125
actual_swap_test,anomaly,0.0110498046875,0.004718755153627929,0.004150390625,0.02587890625
reconstruction,normal,0.0015957419032058195,0.002297661193431893,3.937548098797983e-05,0.018996113428275674
reconstruction,anomaly,0.036792244800517945,0.013531828992682845,0.013522130393157528,0.07843439066089708
reconstruction_fidelity,normal,0.9984042580967941,0.002297661193431893,0.9810038865717243,0.999960624519012
reconstruction_fidelity,anomaly,0.963207755199482,0.013531828992682845,0.9215656093391029,0.9864778696068425
trash_z_expectation,normal,0.9978355318517891,0.003059315849891665,0.9754931987494994,0.9999416889848394
trash_z_expectation,anomaly,0.9494116197901925,0.018723088683111826,0.898706850460571,0.9788379512439799
