evaluation,loss
0,0.0309783935546875
1,0.0448699951171875
2,0.0445465087890625
3,0.0309783935546875
4,0.046051025390625
5,0.01224365234375
6,0.0038421630859375
7,0.0085296630859375
8,0.0038421630859375
9,0.001507568359375
10,0.00074462890625
11,0.0029815673828125
12,0.00074462890625
13,0.0008819580078125
14,0.0003753662109375
15,0.00069580078125
16,0.0005279541015625
17,0.000421142578125
18,0.00042724609375
19,0.00057373046875
20,0.0003753662109375
21,0.0006439208984375
22,0.0004241943359375
23,0.0003753662109375
24,0.00037841796875
25,0.0004150390625
26,0.00037841796875
27,0.0003753662109375
28,0.000390625
29,0.000390625
30,0.0003753662109375
31,0.000384521484375
32,0.0003753662109375
33,0.0003814697265625
34,0.0003753662109375
35,0.00037841796875
36,0.0003753662109375
37,0.0003753662109375
38,0.0003753662109375
39,0.0003753662109375
40,0.0003753662109375
41,0.0003753662109375
42,0.0003753662109375
43,0.0003753662109375
44,0.0003753662109375
45,0.0003753662109375
46,0.0003753662109375
47,0.0003753662109375
48,0.0003753662109375
49,0.0003753662109375
50,0.0003753662109375
