sample_type,x1,x2,actual_swap_test_loss,reconstruction_score,reconstruction_fidelity,trash_z_expectation
normal,0.4472953106188253,0.4472953106188253,0.00048828125,0.0019169063203674508,0.9980830936796325,0.9976719231098038
normal,0.5168663166287515,0.5168663166287515,0.0,0.0002826442605033952,0.9997173557394966,0.9995119394880397
normal,0.5703636099778266,0.5703636099778266,0.001220703125,0.0036460320389581913,0.9963539679610418,0.9946402616454253
normal,0.4272987848759396,0.4272987848759396,0.000732421875,0.0036912322307557366,0.9963087677692443,0.9954005764758941
normal,0.48957390758743646,0.48957390758743646,0.0,9.406495814734406e-05,0.9999059350418527,0.9999054590611899
normal,0.4683973723032546,0.4683973723032546,0.000244140625,0.0006821074016799544,0.99931789259832,0.9992211341492419
normal,0.41194902628362984,0.41194902628362984,0.001220703125,0.0054549283297943285,0.9945450716702057,0.9931248515110049
normal,0.5367463354629196,0.5367463354629196,0.00048828125,0.001077556949240388,0.9989224430507596,0.9983301598147805
normal,0.49882780407225774,0.49882780407225774,0.0,3.955250887111017e-05,0.9999604474911289,0.9999323213999158
normal,0.5035720922146303,0.5035720922146303,0.0,5.891523432799417e-05,0.999941084765672,0.9998821973198049
normal,0.46238442637772054,0.46238442637772054,0.000244140625,0.0009676191331891015,0.9990323808668109,0.9988681319541663
normal,0.5227392081498459,0.5227392081498459,0.000244140625,0.00046043035417475675,0.9995395696458252,0.9992409104581296
normal,0.47303513252563395,0.47303513252563395,0.0,0.0004978361208115567,0.9995021638791884,0.9994453714040682
normal,0.49285483957516196,0.49285483957516196,0.0,6.073584781440822e-05,0.9999392641521856,0.9999338656112515
normal,0.4445869603909243,0.4445869603909243,0.00048828125,0.0021226794708847363,0.9978773205291153,0.9974101358226182
normal,0.43919486198959024,0.43919486198959024,0.00048828125,0.002564532207011583,0.9974354677929884,0.9968462037330195
normal,0.5667765927650011,0.5667765927650011,0.0009765625,0.0033001722307135495,0.9966998277692865,0.99513423774291
normal,0.47464476477307627,0.47464476477307627,0.0,0.00044117976229163247,0.9995588202377084,0.9995134315945626
normal,0.5145840178177901,0.5145840178177901,0.0,0.00022656107763496802,0.999773438922365,0.9995995289005046
normal,0.4983104782616314,0.4983104782616314,0.0,3.937548098797983e-05,0.999960624519012,0.9999351713691669
normal,0.4779427398618908,0.4779427398618908,0.0,0.00033681992221579193,0.9996631800777842,0.9996371778166345
normal,0.474601951483139,0.474601951483139,0.0,0.00044263809428612966,0.9995573619057139,0.999511686420598
normal,0.5315041295722793,0.5315041295722793,0.000244140625,0.0008149021649189736,0.999185097835081,0.9987145117537222
normal,0.4849066197733045,0.4849066197733045,0.0,0.00016808049280891968,0.9998319195071911,0.9998292389187682
normal,0.4924278175914354,0.4924278175914354,0.0,6.420147093200157e-05,0.999935798529068,0.9999313437005055
normal,0.501111077859724,0.501111077859724,0.0,4.48812329159054e-05,0.9999551187670841,0.9999135957952756
normal,0.5588254160126,0.5588254160126,0.000732421875,0.002594060741111015,0.997405939258889,0.9961442475269053
normal,0.5340255487316569,0.5340255487316569,0.000244140625,0.000936522958550956,0.999063477041449,0.9985361257660916
normal,0.5191300133863996,0.5191300133863996,0.0,0.000345470750259369,0.9996545292497406,0.9994152514833747
normal,0.4718214303323379,0.4718214303323379,0.000244140625,0.0005430417647122043,0.9994569582352878,0.999390725673149
normal,0.4309015639996767,0.4309015639996767,0.000732421875,0.0033279056814712327,0.9966720943185288,0.9958676852997318
normal,0.5474764965867651,0.5474764965867651,0.00048828125,0.0017322803656220076,0.998267719634378,0.9973819433893377
normal,0.5483223567110438,0.5483223567110438,0.00048828125,0.0017905374447297895,0.9982094625552702,0.9972979998163457
normal,0.492964580043833,0.492964580043833,0.0,5.988733847595018e-05,0.999940112661524,0.9999344569366312
normal,0.5270941920801759,0.5270941920801759,0.000244140625,0.0006232604883293913,0.9993767395116706,0.9989975762420568
normal,0.5390721526942702,0.5390721526942702,0.00048828125,0.001206155945652987,0.998793844054347,0.998143020415079
normal,0.5415592226332491,0.5415592226332491,0.00048828125,0.0013518444580898903,0.9986481555419101,0.9979316306488296
normal,0.5460691736623235,0.5460691736623235,0.00048828125,0.00163749725503326,0.9983625027449667,0.9975186346100401
normal,0.47721911746694334,0.47721911746694334,0.0,0.0003583698796394419,0.9996416301203606,0.9996118325856157
normal,0.5757486491332359,0.5757486491332359,0.001220703125,0.004196881085422821,0.9958031189145772,0.9938541109329335
normal,0.43767034708571456,0.43767034708571456,0.000732421875,0.002697235300387568,0.9973027646996124,0.996676438996243
normal,0.5430861538496825,0.5430861538496825,0.00048828125,0.0014454641893890674,0.9985545358106109,0.9977960820436362
normal,0.5246966039515379,0.5246966039515379,0.000244140625,0.0005303594878023343,0.9994696405121977,0.9991359977016945
normal,0.5436809556762251,0.5436809556762251,0.00048828125,0.0014827908480339325,0.9985172091519661,0.9977420941386387
normal,0.5939504153548368,0.5939504153548368,0.00146484375,0.006335953137696637,0.9936640468623034,0.990803566783379
normal,0.5742222736689324,0.5742222736689324,0.001220703125,0.004036903356337773,0.9959630966436622,0.9940823660987119
normal,0.44274115464053376,0.44274115464053376,0.00048828125,0.002269108158829747,0.9977308918411703,0.9972234988683891
normal,0.4155664209866071,0.4155664209866071,0.001220703125,0.0050077778200045,0.9949922221799955,0.9937028484723036
normal,0.5408444529526898,0.5408444529526898,0.00048828125,0.0013091108151545017,0.9986908891848455,0.9979935751984587
normal,0.44924937920620384,0.44924937920620384,0.00048828125,0.0017751433615919021,0.9982248566384081,0.997851894360191
normal,0.49937973056762436,0.49937973056762436,0.0,4.016126144823495e-05,0.9999598387385518,0.9999287133740855
normal,0.5419863738502597,0.5419863738502597,0.00048828125,0.001377714510330308,0.9986222854896697,0.9978941533254758
normal,0.4178101324407207,0.4178101324407207,0.001220703125,0.004740199988214511,0.9952598000117855,0.9940484325457059
normal,0.39450097728452604,0.39450097728452604,0.002197265625,0.007885072757311429,0.9921149272426886,0.9899755844079867
normal,0.5129649510168613,0.5129649510168613,0.0,0.00019120429349916979,0.9998087957065008,0.9996556358287787
normal,0.5022192944806648,0.5022192944806648,0.0,5.013740667669797e-05,0.9999498625933233,0.9999008961252277
normal,0.48770984643090387,0.48770984643090387,0.0,0.00011987365911414471,0.9998801263408859,0.999880065161544
normal,0.5019267381885109,0.5019267381885109,0.0,4.8580484989568795e-05,0.9999514195150104,0.9999044778457918
normal,0.456974219631636,0.456974219631636,0.000244140625,0.00126962137525799,0.998730378624742,0.9984903253320621
normal,0.42432527963639466,0.42432527963639466,0.0009765625,0.004005584734329659,0.9959944152656703,0.9949958678603438
normal,0.49166725745598394,0.49166725745598394,0.0,7.102013134552276e-05,0.9999289798686545,0.9999259811605955
normal,0.4514145654475304,0.4514145654475304,0.00048828125,0.0016246185461504803,0.9983753814538495,0.9980425939272531
normal,0.41782593387944467,0.41782593387944467,0.001220703125,0.004738342074821822,0.9952616579251782,0.9940508312605617
