evaluation,loss
0,0.06502278645833333
1,0.0669921875
2,0.081982421875
3,0.07255859375
4,0.08017578125
5,0.05126953125
6,0.04778645833333333
7,0.049397786458333336
8,0.04757486979166667
9,0.0529296875
10,0.0494140625
11,0.04763997395833333
12,0.0486328125
13,0.04742838541666667
14,0.04763997395833333
15,0.04791666666666667
16,0.04742838541666667
17,0.047932942708333336
18,0.04755859375
19,0.04775390625
20,0.04747721354166667
21,0.04742838541666667
22,0.047444661458333336
23,0.047444661458333336
24,0.047444661458333336
25,0.047444661458333336
26,0.047412109375
27,0.047444661458333336
28,0.04739583333333333
29,0.047379557291666666
30,0.047379557291666666
31,0.047379557291666666
32,0.04739583333333333
33,0.04739583333333333
34,0.047379557291666666
35,0.047379557291666666
36,0.04739583333333333
37,0.04739583333333333
38,0.047379557291666666
39,0.047379557291666666
