sample_type,a0,a1,swap_test_loss,reconstruction_fidelity_ideal,reconstruction_score_ideal,trash_z_expectation_ideal
normal,0.4785987528713566,0.4785987528713566,0.0,0.9999995388943915,4.611056084735665e-07,0.9999992367180003
normal,0.4848159805817635,0.4848159805817635,0.0,0.9999890078300507,1.099216994926433e-05,0.9999810047123739
normal,0.5176294533642632,0.5176294533642632,0.0,0.9994934452563677,0.0005065547436322593,0.9990636182285721
normal,0.4939614777456772,0.4939614777456772,0.0,0.9999254589398273,7.454106017268369e-05,0.9998645104673333
normal,0.49013578860171386,0.49013578860171386,0.0,0.9999590188247537,4.098117524631295e-05,0.9999262609073511
normal,0.4442966428424472,0.4442966428424472,0.0,0.9995868538007967,0.00041314619920329587,0.9992216929089937
normal,0.4994239265980726,0.4994239265980726,0.0,0.9998601021250548,0.0001398978749451718,0.999743793402133
normal,0.477820938851279,0.477820938851279,0.0,0.9999990010868103,9.989131897203407e-07,0.9999980561308918
normal,0.5583063888095111,0.5583063888095111,0.000732421875,0.997838038362589,0.002161961637411003,0.9959820183517119
normal,0.5326544251350582,0.5326544251350582,0.000732421875,0.9990172454045934,0.000982754595406643,0.9981780856883383
normal,0.49879281934950337,0.49879281934950337,0.0,0.9998687028431655,0.00013129715683446452,0.9997596997703041
normal,0.5334190511633672,0.5334190511633672,0.000732421875,0.9989887903773019,0.0010112096226980727,0.9981251357196926
normal,0.48300652241434255,0.48300652241434255,0.0,0.9999947951847021,5.20481529786565e-06,0.999991390447866
normal,0.5526063179213474,0.5526063179213474,0.000732421875,0.9981401876159082,0.0018598123840918301,0.9965449868178695
normal,0.4997300219664187,0.4997300219664187,0.0,0.9998558318014191,0.00014416819858087404,0.9997358940669219
normal,0.5291691177090206,0.5291691177090206,0.000244140625,0.9991417605606314,0.0008582394393685799,0.9984097490529553
normal,0.4354553377338256,0.4354553377338256,0.0,0.9993526028121872,0.0006473971878128149,0.9987828422921666
normal,0.5173340024439215,0.5173340024439215,0.0,0.9995012307568053,0.0004987692431946966,0.9990780831390208
normal,0.4155897941316729,0.4155897941316729,0.000732421875,0.9986377252632666,0.0013622747367334487,0.9974454184043087
normal,0.3982335527530034,0.3982335527530034,0.000732421875,0.9978018811712027,0.0021981188287972797,0.9958833349350469
normal,0.48477615611442815,0.48477615611442815,0.0,0.9999891592884314,1.0840711568649297e-05,0.9999812782315433
normal,0.45500361962007024,0.45500361962007024,0.0,0.999800719684802,0.0001992803151980027,0.9996229979953319
normal,0.5082026397856111,0.5082026397856111,0.0,0.9997119556515761,0.00028804434842388815,0.9994693139956696
normal,0.6122378313243024,0.6122378313243024,0.001953125,0.9938328382492674,0.006167161750732619,0.9885112032594008
normal,0.4584138409293959,0.4584138409293959,0.0,0.9998526977278838,0.00014730227211623426,0.9997207236806318
normal,0.4688028206778047,0.4688028206778047,0.0,0.9999627358500195,3.726414998050931e-05,0.9999283476117162
normal,0.510270197303235,0.510270197303235,0.0,0.9996693089095137,0.0003306910904863347,0.999390190050027
normal,0.5246506645706178,0.5246506645706178,0.000244140625,0.9992905359591435,0.0007094640408564779,0.9986864540604014
normal,0.49117969670471207,0.49117969670471207,0.0,0.999950858029712,4.91419702880469e-05,0.9999112711466133
normal,0.48970348348733916,0.48970348348733916,0.0,0.9999621795398351,3.7820460164872394e-05,0.9999320600811733
normal,0.5351231477560272,0.5351231477560272,0.000732421875,0.9989238987348747,0.001076101265125251,0.9980043724051996
normal,0.5259953818516949,0.5259953818516949,0.000244140625,0.9992477507733044,0.0007522492266955894,0.9986068905710206
normal,0.4483162083963156,0.4483162083963156,0.0,0.9996761341259824,0.0003238658740175593,0.9993891130362206
normal,0.4960409340692079,0.4960409340692079,0.0,0.9999029993599767,9.700064002327036e-05,0.9998230736214471
normal,0.5017643424330737,0.5017643424330737,0.0,0.9998258094343971,0.00017419056560286084,0.999680330414199
normal,0.4472757688975445,0.4472757688975445,0.0,0.9996540595704531,0.0003459404295469426,0.9993477070780743
normal,0.5129919550337182,0.5129919550337182,0.0,0.9996086496113442,0.00039135038865578675,0.9992775934343183
normal,0.4571021761411728,0.4571021761411728,0.0,0.9998336308445843,0.00016636915541567987,0.9996848611022927
normal,0.5486033353958522,0.5486033353958522,0.000732421875,0.9983386443146224,0.001661355685377619,0.996914670561379
normal,0.5096372956302536,0.5096372956302536,0.0,0.9996826781074438,0.00031732189255617715,0.9994149980740875
normal,0.5044653242884525,0.5044653242884525,0.0,0.9997815345904205,0.00021846540957948246,0.9995983184980944
normal,0.4704485823571863,0.4704485823571863,0.0,0.999973471846098,2.6528153902027896e-05,0.9999487502696103
normal,0.4940695088061153,0.4940695088061153,0.0,0.9999243653399784,7.563466002158403e-05,0.9998624943980655
normal,0.4001126853546473,0.4001126853546473,0.000732421875,0.9979018053297012,0.002098194670298814,0.9960700207682435
normal,0.4434296264738471,0.4434296264738471,0.0,0.9995661824703158,0.0004338175296841884,0.9991829452100434
normal,0.5181419899594377,0.5181419899594377,0.0,0.9994797952018576,0.0005202047981424096,0.9990382560125781
normal,0.39357164790889276,0.39357164790889276,0.000732421875,0.9975441505049788,0.0024558494950212006,0.995401881922312
normal,0.5423304260740581,0.5423304260740581,0.000732421875,0.9986268973890821,0.0013731026109179423,0.9974514850238717
normal,0.4126951762313046,0.4126951762313046,0.000732421875,0.9985119395980593,0.0014880604019407162,0.9972102578957309
normal,0.5378369251332134,0.5378369251332134,0.000732421875,0.9988163521875062,0.0011836478124938044,0.997804197309778
normal,0.4577251483560338,0.4577251483560338,0.0,0.9998428309229037,0.00015716907709628636,0.9997021630440417
normal,0.5389495542171231,0.5389495542171231,0.000732421875,0.9987707639014975,0.0012292360985024509,0.9977193336471287
normal,0.50654756037924,0.50654756037924,0.0,0.9997439609628891,0.00025603903711091114,0.9995286695590433
normal,0.42315825298542553,0.42315825298542553,0.000732421875,0.9989407013191458,0.0010592986808541927,0.9980120100526901
normal,0.5624574374779228,0.5624574374779228,0.000732421875,0.9976035135498983,0.002396486450101709,0.9955449571595595
normal,0.5720853577761306,0.5720853577761306,0.001220703125,0.9970124407194989,0.0029875592805010953,0.9944431365367645
normal,0.4967097546999896,0.4967097546999896,0.0,0.9998951434710288,0.00010485652897118669,0.9998085663019038
normal,0.486304186391384,0.486304186391384,0.0,0.999982570345315,1.742965468498614e-05,0.9999693325355313
normal,0.4920066517014682,0.4920066517014682,0.0,0.9999438624966867,5.6137503313347104e-05,0.9998984061213053
normal,0.4512423838610627,0.4512423838610627,0.0,0.9997343355293993,0.00026566447060072385,0.9994983274384446
normal,0.5549293379878459,0.5549293379878459,0.000732421875,0.9980198252340095,0.00198017476599055,0.996320743207129
normal,0.47285540341349064,0.47285540341349064,0.0,0.9999858655506613,1.413444933873187e-05,0.9999724192845024
normal,0.4974404793654162,0.4974404793654162,0.0,0.9998862085223327,0.00011379147766732434,0.9997920593313827
normal,0.46033517983984784,0.46033517983984784,0.0,0.9998785366425686,0.00012146335743135062,0.9997693573319699
normal,0.46869634501399016,0.46869634501399016,0.0,0.9999619780612847,3.8021938715271375e-05,0.9999269097339244
normal,0.4361137424174415,0.4361137424174415,0.0,0.9993718368984336,0.0006281631015664368,0.9988188588361342
normal,0.5628534656857196,0.5628534656857196,0.000732421875,0.9975805000572188,0.0024194999427812336,0.9955020652409443
normal,0.49229562133969934,0.49229562133969934,0.0,0.9999413073154347,5.869268456526466e-05,0.9998937040417996
normal,0.5482960809364404,0.5482960809364404,0.000732421875,0.9983534095317577,0.0016465904682423371,0.9969421721496903
normal,0.500666229845663,0.500666229845663,0.0,0.9998423698617864,0.0001576301382135714,0.9997109851414941
normal,0.4652798236148553,0.4652798236148553,0.0,0.9999335894165184,6.64105834815576e-05,0.9998731748254045
